a,b,c,ballots,percentage
ELLEN LEE ZHOU,ELLEN LEE ZHOU,LONDON BREED,27,0.011
RICHIE GREENBERG,JANE KIM,AMY FARAH WEISS,27,0.011
MICHELLE BRAVO,ANGELA ALIOTO,LONDON BREED,26,0.01
ELLEN LEE ZHOU,JANE KIM,ELLEN LEE ZHOU,26,0.01
ELLEN LEE ZHOU,AMY FARAH WEISS,MARK LENO,26,0.01
MICHELLE BRAVO,ELLEN LEE ZHOU,ANGELA ALIOTO,25,0.01
MICHELLE BRAVO,ANGELA ALIOTO,JANE KIM,25,0.01
ANGELA ALIOTO,ANGELA ALIOTO,JANE KIM,25,0.01
,JANE KIM,LONDON BREED,24,0.009
AMY FARAH WEISS,ELLEN LEE ZHOU,ANGELA ALIOTO,24,0.009
RICHIE GREENBERG,ANGELA ALIOTO,ANGELA ALIOTO,24,0.009
ANGELA ALIOTO,ANGELA ALIOTO,RICHIE GREENBERG,23,0.009
AMY FARAH WEISS,RICHIE GREENBERG,ELLEN LEE ZHOU,23,0.009
JANE KIM,,LONDON BREED,22,0.009
MICHELLE BRAVO,JANE KIM,MARK LENO,22,0.009
,JANE KIM,ANGELA ALIOTO,21,0.008
,,JANE KIM,21,0.008
ELLEN LEE ZHOU,AMY FARAH WEISS,JANE KIM,21,0.008
MICHELLE BRAVO,LONDON BREED,JANE KIM,21,0.008
AMY FARAH WEISS,MICHELLE BRAVO,ELLEN LEE ZHOU,21,0.008
,LONDON BREED,LONDON BREED,21,0.008
LONDON BREED,,ELLEN LEE ZHOU,21,0.008
AMY FARAH WEISS,ANGELA ALIOTO,MICHELLE BRAVO,20,0.008
AMY FARAH WEISS,JANE KIM,,20,0.008
RICHIE GREENBERG,AMY FARAH WEISS,,20,0.008
ELLEN LEE ZHOU,MICHELLE BRAVO,RICHIE GREENBERG,20,0.008
JANE KIM,MICHELLE BRAVO,RICHIE GREENBERG,20,0.008
MARK LENO,,ANGELA ALIOTO,20,0.008
ANGELA ALIOTO,JANE KIM,JANE KIM,20,0.008
